node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,Fitting Area Wear(mm^2)
19.29923094,11.91337707,9.704208121,8.270039188,5.316608764,8.066218784,24.97620712,7.09520254,5.29843394,11.77969809,9.444544021,7.836833326,11.93537283,5.706311065,2.359712129,1.998553074,1.01
17.94548419,12.86761147,8.006311474,11.14176125,4.262492244,7.848934664,22.14012451,7.370719543,5.639258713,13.46792854,9.685913969,6.681443939,11.95534726,5.430698147,2.413231438,2.769130837,1.02
13.12294582,6.809647831,4.10425907,2.489484066,2.165728496,4.18881906,8.434997624,3.822686705,3.946992982,8.174585631,7.943317314,7.506953081,14.07538378,5.60323805,4.35722243,3.650333716,1.02
24.02011286,18.07524785,9.410375624,6.926247625,5.553442833,5.88641815,11.04893829,5.296451204,6.147906617,11.84007316,8.679398031,10.25602009,18.8870566,6.86796514,7.139994512,5.393773187,1.03
16.21272076,9.415753771,7.88930338,7.454522248,2.349611594,4.477757797,10.04732114,6.161079587,7.225358871,11.10244942,9.37068044,15.16150365,30.65865432,9.1127099,18.7412019,11.18232347,1.03
15.32743398,9.660947931,6.338731831,6.835123608,2.788687215,5.661565976,9.964932545,5.892014431,4.678880775,9.788950748,9.899769189,16.59792503,26.96711287,10.52428626,21.26494373,9.197040409,1.04
15.77045138,9.555857294,4.920521205,7.00941009,4.066058101,5.883529681,10.13579631,6.331360371,5.77977545,9.634465683,10.01890079,17.34062334,29.27079277,7.067194377,18.37726477,10.11997252,1.04
13.96049767,10.20096345,4.718884606,6.333557578,4.612160148,5.64485755,10.15007033,6.970490079,6.833081798,9.880098373,11.12743656,17.99005515,30.2989974,6.667423612,14.47787367,13.71484238,1.05
13.71723372,10.24620971,5.255523435,4.124071442,4.296155195,5.008334716,8.747510732,7.348055367,4.403122011,9.238410124,9.43167559,14.6927683,27.71141981,8.117623108,6.598107941,12.78950634,1.05
12.06371233,8.280343152,5.54222151,5.500687318,3.398093346,5.864750083,20.00075423,10.11398301,5.732342355,13.72086579,11.86655333,13.38652054,21.19707923,5.303722952,3.386046041,3.983336273,1.06
